               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079465,            0.059206,            0.024417,             0.34795,             0.53458,              0.4134,             0.25948,            0.064537,            0.029916,            0.011768,              0.0937,              0.0007,              0.0007
                   1,            0.065856,             0.05839,            0.026465,             0.55718,             0.54116,             0.57456,              0.3655,            0.053067,            0.029498,            0.010638,             0.08645,           0.0014505,           0.0014505
                   2,            0.057095,            0.055772,            0.023737,             0.54514,             0.60311,             0.63327,             0.39504,            0.051076,            0.029261,            0.010013,            0.079148,           0.0021482,           0.0021482
                   3,            0.056195,            0.052151,            0.022744,             0.61537,             0.62328,             0.67766,             0.43679,            0.048486,            0.029012,           0.0095661,            0.071793,           0.0027931,           0.0027931
                   4,            0.053724,            0.054857,            0.021143,             0.68348,             0.62074,             0.69886,             0.43294,            0.048209,            0.029344,           0.0092852,            0.064385,           0.0033852,           0.0033852
                   5,            0.051704,            0.051568,            0.018952,             0.71887,             0.62699,              0.6981,             0.42597,            0.047476,            0.028517,           0.0090535,            0.056925,           0.0039245,           0.0039245
                   6,            0.051824,            0.046244,            0.016695,             0.69269,             0.64919,             0.70431,             0.41666,            0.047536,            0.027342,           0.0085678,            0.049411,            0.004411,            0.004411
                   7,            0.050572,            0.047769,            0.016686,             0.74277,             0.62728,             0.70408,             0.40893,            0.049744,            0.026665,           0.0082691,            0.041845,           0.0048447,           0.0048447
                   8,             0.05245,            0.045535,            0.014168,             0.71648,             0.64446,             0.71732,              0.4193,            0.047982,            0.025556,           0.0078435,            0.034226,           0.0052256,           0.0052256
                   9,             0.05257,            0.046172,            0.016768,              0.6803,             0.64577,             0.70174,             0.41079,            0.048704,            0.025845,           0.0080514,            0.026554,           0.0055537,           0.0055537
                  10,            0.051476,            0.047491,             0.01584,             0.65465,             0.71696,             0.72536,             0.46061,            0.047148,            0.024529,            0.007084,            0.018829,            0.005829,            0.005829
                  11,            0.053532,            0.046852,            0.016722,             0.73175,             0.69921,             0.75122,             0.46402,             0.04636,            0.024643,           0.0067452,            0.011052,           0.0060515,           0.0060515
                  12,            0.051014,            0.045436,            0.016017,             0.68823,             0.70216,             0.73445,             0.46107,            0.046233,            0.024179,           0.0065212,             0.00604,             0.00604,             0.00604
                  13,            0.047593,             0.04412,            0.016011,             0.69338,             0.70859,             0.73077,              0.4549,            0.047315,            0.023945,           0.0064433,             0.00604,             0.00604,             0.00604
                  14,            0.052217,            0.046534,            0.015693,             0.71089,             0.70743,             0.74943,             0.48261,            0.045084,             0.02384,           0.0063841,             0.00571,             0.00571,             0.00571
                  15,            0.050342,            0.044986,             0.01415,             0.81615,             0.70235,              0.7684,             0.50409,            0.042877,            0.023476,           0.0061231,             0.00538,             0.00538,             0.00538
                  16,            0.047677,            0.046153,             0.01263,             0.80115,              0.6923,              0.7613,             0.51023,            0.042443,            0.023196,           0.0059583,             0.00505,             0.00505,             0.00505
                  17,            0.045953,            0.040983,            0.013042,             0.76667,             0.72666,             0.78634,             0.51994,            0.042454,            0.023014,            0.005841,             0.00472,             0.00472,             0.00472
                  18,            0.045387,             0.04096,            0.013735,             0.78295,             0.72329,             0.78991,             0.51439,            0.041529,            0.022811,            0.005687,             0.00439,             0.00439,             0.00439
                  19,            0.046669,            0.042262,            0.012232,             0.79473,              0.7285,             0.79184,             0.53737,            0.040448,            0.022346,           0.0055754,             0.00406,             0.00406,             0.00406
                  20,             0.04573,             0.03983,            0.012438,             0.77858,             0.75812,             0.80602,             0.54082,            0.040192,            0.022065,            0.005433,             0.00373,             0.00373,             0.00373
                  21,            0.043818,            0.043698,            0.013753,             0.82096,             0.74448,             0.81332,             0.54647,            0.040148,              0.0219,           0.0054302,              0.0034,              0.0034,              0.0034
                  22,            0.046423,            0.042599,            0.011851,             0.83099,             0.74402,             0.81455,             0.54807,             0.03955,            0.021703,           0.0053327,             0.00307,             0.00307,             0.00307
                  23,             0.04408,            0.042694,            0.012323,             0.82126,             0.74475,             0.80954,             0.54332,            0.039083,            0.021683,           0.0050871,             0.00274,             0.00274,             0.00274
                  24,            0.045202,            0.042678,            0.010844,             0.84147,             0.75032,             0.81761,             0.55642,            0.038489,             0.02146,           0.0049407,             0.00241,             0.00241,             0.00241
                  25,            0.043794,            0.037971,            0.011911,             0.84899,             0.74809,             0.82372,             0.56841,            0.037816,            0.021092,           0.0048989,             0.00208,             0.00208,             0.00208
                  26,            0.043407,            0.042279,             0.01033,             0.84338,             0.75132,             0.82142,             0.56804,             0.03745,             0.02087,           0.0048367,             0.00175,             0.00175,             0.00175
                  27,            0.041475,            0.042536,           0.0093885,             0.85483,             0.74401,               0.819,             0.57771,            0.037132,            0.020693,           0.0047762,             0.00142,             0.00142,             0.00142
                  28,            0.042503,            0.039357,            0.010467,              0.8542,              0.7574,             0.82207,             0.57703,            0.036869,            0.020566,           0.0047141,             0.00109,             0.00109,             0.00109
                  29,            0.042554,            0.038985,            0.010413,             0.84825,             0.77289,             0.83651,             0.58644,            0.036586,            0.020498,           0.0046703,             0.00076,             0.00076,             0.00076
