               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.030207,            0.012083,                   0,             0.96872,                   1,             0.99372,             0.73486,            0.020305,           0.0034871,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.027579,            0.011749,                   0,             0.96848,                   1,             0.99372,             0.72086,            0.020198,           0.0034295,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.030045,            0.012458,                   0,             0.99693,             0.94737,             0.99321,             0.73075,            0.019346,            0.003434,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.026141,            0.011046,                   0,             0.99602,             0.94737,             0.99321,             0.72466,            0.018562,           0.0034797,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.026412,            0.011703,                   0,              0.9961,             0.94737,              0.9925,             0.71438,            0.019017,           0.0034875,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.026345,            0.013425,                   0,              0.9962,             0.94737,             0.99321,             0.71525,            0.017177,           0.0035458,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.022718,            0.011867,                   0,                   1,             0.96994,             0.99449,             0.75592,            0.016539,           0.0034617,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.022763,             0.01195,                   0,                   1,             0.97069,             0.99449,             0.76959,            0.016224,           0.0033353,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.026698,            0.011305,                   0,              0.9693,                   1,             0.99449,             0.75713,            0.015987,           0.0033239,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.023913,            0.011029,                   0,             0.96844,                   1,             0.99449,             0.79206,             0.01554,           0.0033161,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.025698,            0.011127,                   0,                   1,              0.9953,               0.995,             0.77292,            0.015304,           0.0032728,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.024857,            0.012162,                   0,                   1,             0.99707,               0.995,              0.7754,            0.015305,           0.0032125,                   0,            0.000496,            0.000496,            0.000496
