               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.079465,0.059206,0.024417,0.3593,0.52392,0.41606,0.26314,0.064776,0.029855,0.011694,0.0937,0.0007,0.0007
1,0.065834,0.058383,0.026463,0.54915,0.55729,0.5866,0.37627,0.053325,0.029487,0.010554,0.08647,0.0014703,0.0014703
2,0.057066,0.055737,0.023703,0.55243,0.60318,0.63991,0.40385,0.051305,0.029285,0.0099127,0.079209,0.0022089,0.0022089
3,0.056143,0.052101,0.022679,0.60539,0.6254,0.67886,0.43842,0.048676,0.029053,0.0094428,0.071916,0.0029159,0.0029159
4,0.053744,0.054752,0.021056,0.63723,0.64392,0.696,0.4238,0.048826,0.029442,0.0091808,0.064591,0.0035911,0.0035911
5,0.051841,0.051437,0.018857,0.69839,0.64207,0.69834,0.42361,0.047948,0.028481,0.0089505,0.057235,0.0042347,0.0042347
6,0.052124,0.046052,0.016564,0.70359,0.63188,0.70134,0.39804,0.048504,0.027301,0.0084143,0.049847,0.0048466,0.0048466
7,0.05095,0.04764,0.016514,0.72059,0.6217,0.7035,0.39318,0.050768,0.026647,0.0080125,0.042427,0.0054268,0.0054268
8,0.052871,0.045323,0.01405,0.72018,0.65921,0.72063,0.41029,0.049193,0.025427,0.007597,0.034975,0.0059754,0.0059754
9,0.053009,0.046039,0.016714,0.64584,0.6594,0.70164,0.40784,0.049253,0.025936,0.0078719,0.027492,0.0064922,0.0064922
10,0.05192,0.047344,0.015679,0.60754,0.68352,0.6819,0.42331,0.050063,0.024365,0.0068901,0.019977,0.0069774,0.0069774
11,0.054465,0.046508,0.016681,0.69565,0.70628,0.72527,0.44365,0.049568,0.024219,0.0065169,0.012431,0.0074309,0.0074309
12,0.052746,0.044889,0.015842,0.68864,0.68506,0.74196,0.47361,0.047917,0.023972,0.0064371,0.007624,0.007624,0.007624
13,0.049651,0.043601,0.015972,0.72385,0.67172,0.74073,0.46053,0.047169,0.023944,0.0065486,0.007624,0.007624,0.007624
14,0.052906,0.04648,0.015906,0.77225,0.67663,0.74645,0.45867,0.045822,0.023968,0.0065401,0.007426,0.007426,0.007426
15,0.051693,0.044938,0.014117,0.74844,0.70444,0.76206,0.47103,0.045258,0.023619,0.0062304,0.007228,0.007228,0.007228
16,0.049364,0.04606,0.01283,0.71808,0.70624,0.75931,0.46979,0.045613,0.023402,0.0060632,0.00703,0.00703,0.00703
17,0.04823,0.040837,0.013256,0.75203,0.7039,0.75951,0.47653,0.044849,0.022949,0.0059156,0.006832,0.006832,0.006832
18,0.047317,0.040843,0.013845,0.72085,0.75293,0.7716,0.48648,0.045058,0.022807,0.0058389,0.006634,0.006634,0.006634
19,0.049013,0.041871,0.012323,0.77406,0.73562,0.7856,0.50331,0.043015,0.022184,0.0057666,0.006436,0.006436,0.006436
20,0.047341,0.039388,0.012593,0.78801,0.74274,0.78331,0.51394,0.042807,0.022017,0.0056646,0.006238,0.006238,0.006238
21,0.045495,0.043411,0.013864,0.80497,0.74457,0.8022,0.52682,0.041931,0.021877,0.0055742,0.00604,0.00604,0.00604
22,0.048331,0.04267,0.011793,0.81344,0.75556,0.81255,0.51559,0.041794,0.021709,0.005466,0.005842,0.005842,0.005842
23,0.046311,0.042356,0.012727,0.8132,0.77262,0.82083,0.50191,0.042635,0.021979,0.005259,0.005644,0.005644,0.005644
24,0.047985,0.042841,0.011063,0.81613,0.7704,0.83107,0.52723,0.041503,0.021605,0.0052841,0.005446,0.005446,0.005446
25,0.045764,0.037865,0.012061,0.87566,0.71898,0.82886,0.52781,0.041468,0.021072,0.0052633,0.005248,0.005248,0.005248
26,0.046221,0.042284,0.010392,0.82294,0.76898,0.82619,0.53009,0.040352,0.020868,0.0051613,0.00505,0.00505,0.00505
27,0.044542,0.042513,0.0095591,0.83196,0.77827,0.83889,0.52824,0.039896,0.020756,0.005105,0.004852,0.004852,0.004852
28,0.04489,0.038939,0.010566,0.80735,0.78375,0.83617,0.52797,0.039981,0.020601,0.0050193,0.004654,0.004654,0.004654
29,0.044349,0.038529,0.010606,0.7664,0.80599,0.83421,0.5404,0.039016,0.020523,0.0049171,0.004456,0.004456,0.004456
30,0.04366,0.037059,0.0095603,0.75226,0.79852,0.83588,0.54039,0.0387,0.020364,0.0048355,0.004258,0.004258,0.004258
31,0.044476,0.035902,0.0106,0.78771,0.76899,0.83001,0.55831,0.038797,0.02037,0.0047604,0.00406,0.00406,0.00406
32,0.043246,0.042711,0.0098346,0.84697,0.76246,0.84102,0.55935,0.038318,0.020194,0.0046258,0.003862,0.003862,0.003862
33,0.043335,0.037892,0.0095552,0.79607,0.79547,0.84872,0.56435,0.038222,0.020057,0.0045569,0.003664,0.003664,0.003664
34,0.043618,0.040483,0.0095025,0.833,0.77629,0.83289,0.56809,0.037836,0.020013,0.004445,0.003466,0.003466,0.003466
35,0.041813,0.035728,0.0091453,0.84471,0.77641,0.83901,0.56666,0.037769,0.019878,0.0043561,0.003268,0.003268,0.003268
36,0.042523,0.037733,0.0094377,0.79239,0.82395,0.86063,0.57018,0.036784,0.019502,0.0042447,0.00307,0.00307,0.00307
37,0.042077,0.042272,0.0093044,0.81107,0.81627,0.8572,0.5798,0.036731,0.019391,0.0041773,0.002872,0.002872,0.002872
38,0.041138,0.036843,0.0083867,0.85949,0.80468,0.86839,0.58999,0.036299,0.019259,0.0040989,0.002674,0.002674,0.002674
39,0.041032,0.035344,0.0090887,0.85427,0.80673,0.86711,0.60228,0.036301,0.019107,0.004052,0.002476,0.002476,0.002476
40,0.041565,0.03803,0.009477,0.84611,0.82797,0.87037,0.59431,0.036022,0.019013,0.0040028,0.002278,0.002278,0.002278
41,0.041111,0.03829,0.0090137,0.85093,0.82913,0.87073,0.61189,0.035248,0.018795,0.003958,0.00208,0.00208,0.00208
42,0.041742,0.037653,0.0083373,0.82934,0.83666,0.87079,0.61102,0.035147,0.018734,0.0039161,0.001882,0.001882,0.001882
43,0.040121,0.034762,0.008518,0.82103,0.83606,0.86722,0.61688,0.034948,0.018674,0.0038673,0.001684,0.001684,0.001684
44,0.038452,0.035022,0.0085734,0.83297,0.82169,0.86125,0.61996,0.034566,0.01856,0.0038357,0.001486,0.001486,0.001486
45,0.039127,0.033745,0.0088665,0.82025,0.83258,0.86554,0.62033,0.034451,0.018386,0.0038214,0.001288,0.001288,0.001288
46,0.039797,0.034602,0.0081519,0.83319,0.83095,0.8716,0.62066,0.034283,0.018249,0.0037903,0.00109,0.00109,0.00109
