               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079465,            0.059206,            0.024417,              0.3593,             0.52392,             0.41606,             0.26314,            0.064776,            0.029855,            0.011694,              0.0937,              0.0007,              0.0007
                   1,            0.065827,            0.058379,             0.02646,               0.498,              0.5749,             0.59311,             0.37779,            0.053306,            0.029487,            0.010546,            0.086475,           0.0014752,           0.0014752
                   2,             0.05705,            0.055733,            0.023699,             0.54459,             0.60507,             0.64309,             0.40588,            0.051287,             0.02929,            0.009913,            0.079224,           0.0022241,           0.0022241
                   3,            0.056135,            0.052089,            0.022663,             0.60046,             0.62263,             0.67686,             0.43901,            0.048648,            0.029054,           0.0094457,            0.071947,           0.0029465,           0.0029465
                   4,             0.05372,            0.054732,            0.021039,             0.63692,             0.64198,             0.69933,              0.4286,            0.048741,             0.02945,           0.0091858,            0.064643,           0.0036426,           0.0036426
                   5,            0.051792,            0.051401,             0.01883,             0.69676,             0.63632,              0.6944,             0.42209,            0.048068,            0.028476,            0.008954,            0.057312,           0.0043123,           0.0043123
                   6,            0.052258,            0.046014,            0.016533,             0.69627,             0.62336,             0.68928,             0.39157,            0.048852,            0.027295,           0.0084031,            0.049955,           0.0049555,           0.0049555
                   7,            0.051044,             0.04759,            0.016467,             0.70846,             0.61789,             0.69822,             0.40044,            0.050809,            0.026556,            0.008002,            0.042572,           0.0055724,           0.0055724
                   8,            0.052453,            0.045254,            0.014033,              0.7076,             0.66722,             0.72094,             0.40544,            0.049355,            0.025372,           0.0075889,            0.035163,           0.0061628,           0.0061628
                   9,            0.052512,            0.045817,            0.016678,             0.59135,             0.71222,             0.70314,               0.409,            0.049657,            0.025688,             0.00774,            0.027727,           0.0067268,           0.0067268
                  10,            0.051973,            0.047075,            0.015614,             0.60895,             0.68286,             0.69466,             0.41186,            0.050953,              0.0246,           0.0068877,            0.020264,           0.0072645,           0.0072645
                  11,            0.054589,            0.046589,            0.016655,             0.67745,             0.69131,             0.72297,             0.44871,            0.049699,            0.024033,           0.0065098,            0.012776,           0.0077757,           0.0077757
                  12,            0.052774,            0.044757,            0.015777,             0.73638,             0.67823,             0.73792,              0.4044,            0.050756,            0.024301,           0.0064576,             0.00802,             0.00802,             0.00802
                  13,            0.051606,            0.043681,             0.01594,             0.76199,             0.67207,             0.74077,             0.38748,            0.050382,            0.024251,           0.0066652,             0.00802,             0.00802,             0.00802
                  14,            0.053239,            0.046415,            0.016037,             0.76842,             0.68856,             0.74329,             0.41865,            0.050182,            0.023963,           0.0066454,            0.007855,            0.007855,            0.007855
                  15,            0.053834,             0.04485,            0.014289,             0.76654,             0.68697,             0.74711,             0.43408,            0.047278,            0.023672,           0.0063601,             0.00769,             0.00769,             0.00769
                  16,            0.050121,            0.046074,            0.012926,             0.79292,             0.68685,             0.75251,             0.41959,            0.047905,             0.02368,           0.0062859,            0.007525,            0.007525,            0.007525
                  17,             0.04869,            0.041002,            0.013445,             0.69115,             0.72363,             0.75643,             0.47553,             0.04604,            0.022798,           0.0060794,             0.00736,             0.00736,             0.00736
                  18,            0.047491,             0.04079,            0.013874,             0.74252,             0.73238,             0.77607,             0.46847,            0.045932,            0.022591,           0.0060704,            0.007195,            0.007195,            0.007195
                  19,             0.04983,            0.041636,            0.012474,             0.81627,             0.69935,             0.78459,             0.47982,            0.044859,             0.02239,           0.0060585,             0.00703,             0.00703,             0.00703
                  20,            0.049128,            0.039541,            0.012667,              0.7718,             0.71744,             0.76598,             0.46947,            0.045576,             0.02235,           0.0059114,            0.006865,            0.006865,            0.006865
                  21,            0.047105,            0.043575,            0.013966,             0.77857,             0.74437,             0.79738,             0.52279,             0.04289,            0.022125,           0.0057507,              0.0067,              0.0067,              0.0067
                  22,            0.047877,            0.042645,            0.011885,             0.79078,             0.74438,             0.80798,              0.5177,            0.042689,            0.021903,           0.0054939,            0.006535,            0.006535,            0.006535
                  23,            0.046059,             0.04243,            0.012772,             0.76755,              0.7789,             0.81135,             0.50853,            0.042149,            0.022148,           0.0053215,             0.00637,             0.00637,             0.00637
                  24,            0.047895,            0.042939,             0.01115,             0.78899,              0.7742,              0.8166,             0.50273,            0.042618,            0.021847,           0.0053303,            0.006205,            0.006205,            0.006205
                  25,            0.046926,            0.037947,            0.011845,             0.77528,             0.76942,             0.81636,             0.50998,            0.042442,            0.021365,            0.005358,             0.00604,             0.00604,             0.00604
                  26,            0.047118,            0.042203,            0.010573,             0.78356,             0.77114,             0.81091,             0.50614,            0.041292,            0.020902,           0.0052342,            0.005875,            0.005875,            0.005875
                  27,            0.045404,            0.042637,           0.0097967,             0.80498,             0.78331,             0.82496,             0.51978,            0.041374,            0.020875,           0.0051694,             0.00571,             0.00571,             0.00571
                  28,            0.046289,            0.039096,            0.010805,              0.8455,              0.7398,             0.82342,             0.51432,            0.041371,             0.02071,           0.0050766,            0.005545,            0.005545,            0.005545
                  29,            0.045371,             0.03883,            0.011138,              0.8307,             0.75425,              0.8342,             0.52707,            0.040338,            0.020644,           0.0049917,             0.00538,             0.00538,             0.00538
                  30,            0.044858,            0.037099,           0.0099136,             0.87278,             0.74733,              0.8423,             0.53328,            0.041056,            0.020641,           0.0049376,            0.005215,            0.005215,            0.005215
                  31,            0.045798,            0.036195,            0.010901,             0.85581,             0.76407,             0.84564,             0.53252,            0.040126,            0.020574,           0.0048578,             0.00505,             0.00505,             0.00505
                  32,            0.044042,            0.043039,              0.0102,             0.83144,             0.77604,             0.84626,             0.53858,            0.039832,            0.020461,            0.004686,            0.004885,            0.004885,            0.004885
                  33,            0.044299,            0.038078,           0.0096365,             0.82492,             0.78447,             0.83465,             0.53932,            0.039567,            0.020229,           0.0046191,             0.00472,             0.00472,             0.00472
                  34,            0.044609,            0.040414,            0.009624,             0.76986,             0.82543,             0.85016,             0.54314,            0.039224,            0.020255,           0.0045185,            0.004555,            0.004555,            0.004555
                  35,            0.042678,            0.035891,           0.0090561,             0.78672,             0.81785,             0.85746,             0.55715,            0.039567,            0.020206,           0.0044566,             0.00439,             0.00439,             0.00439
                  36,            0.043785,            0.037951,           0.0095694,             0.81318,             0.80479,             0.86687,             0.57115,            0.037968,            0.019676,           0.0043492,            0.004225,            0.004225,            0.004225
                  37,            0.042618,            0.042243,           0.0094844,             0.82361,             0.82582,               0.862,             0.56712,            0.038132,            0.019489,           0.0042874,             0.00406,             0.00406,             0.00406
                  38,            0.041845,            0.037047,           0.0085075,             0.84381,             0.81233,             0.86028,             0.57748,            0.037955,            0.019477,           0.0042192,            0.003895,            0.003895,            0.003895
                  39,            0.042708,            0.035488,           0.0093252,             0.83633,             0.81346,              0.8536,             0.58042,            0.037101,            0.019167,           0.0042059,             0.00373,             0.00373,             0.00373
                  40,            0.042427,            0.038163,           0.0098354,             0.85223,             0.80712,              0.8656,             0.59036,            0.036791,            0.019159,            0.004162,            0.003565,            0.003565,            0.003565
                  41,             0.04171,            0.038275,           0.0091399,             0.82489,             0.82349,             0.86971,             0.59236,            0.035928,            0.018925,           0.0040858,              0.0034,              0.0034,              0.0034
                  42,            0.042301,            0.037676,            0.008626,             0.82876,             0.82423,             0.87157,             0.60119,            0.035999,            0.018941,           0.0040139,            0.003235,            0.003235,            0.003235
                  43,            0.041219,            0.035071,           0.0088746,             0.88691,             0.78145,             0.85586,             0.59824,            0.036139,            0.018916,           0.0039698,             0.00307,             0.00307,             0.00307
                  44,            0.039298,            0.034999,           0.0090916,             0.87747,              0.7993,             0.86575,             0.60747,            0.035538,            0.018753,           0.0039377,            0.002905,            0.002905,            0.002905
                  45,             0.03996,            0.033529,           0.0088038,             0.88654,             0.79395,             0.86616,             0.60515,            0.035592,            0.018555,           0.0038908,             0.00274,             0.00274,             0.00274
                  46,            0.040618,            0.034919,           0.0082889,             0.90654,             0.79114,             0.86404,             0.60621,            0.035424,            0.018372,           0.0038232,            0.002575,            0.002575,            0.002575
                  47,            0.039292,            0.033148,           0.0083043,             0.90325,              0.7913,             0.86081,              0.6159,            0.034892,            0.018095,           0.0037932,             0.00241,             0.00241,             0.00241
                  48,            0.039694,            0.037699,           0.0092364,             0.89658,             0.79695,             0.86901,             0.61533,            0.034423,            0.017951,           0.0037695,            0.002245,            0.002245,            0.002245
                  49,            0.039128,            0.036312,            0.008661,             0.88469,             0.79914,             0.86592,             0.60462,            0.035551,            0.018198,           0.0037518,             0.00208,             0.00208,             0.00208
                  50,            0.039932,            0.033462,           0.0089821,             0.87332,             0.80263,             0.86792,             0.61661,            0.034562,            0.018041,            0.003763,            0.001915,            0.001915,            0.001915
