               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079465,            0.059206,            0.024417,             0.34795,             0.53458,              0.4134,             0.25948,            0.064537,            0.029916,            0.011768,              0.0937,              0.0007,              0.0007
                   1,            0.065818,            0.058378,            0.026456,             0.55533,             0.54183,             0.57546,             0.36555,            0.053038,            0.029505,            0.010629,            0.086484,           0.0014835,           0.0014835
                   2,             0.05704,            0.055718,            0.023682,             0.54695,              0.5961,             0.63444,             0.39451,            0.051029,            0.029272,           0.0099995,            0.079249,           0.0022494,           0.0022494
                   3,             0.05612,            0.052069,            0.022644,             0.61829,             0.61967,             0.67675,             0.43339,            0.048448,            0.029045,           0.0095422,            0.071998,           0.0029977,           0.0029977
                   4,             0.05374,            0.054685,            0.020998,             0.66431,             0.62204,             0.69625,             0.42311,            0.048647,            0.029413,           0.0092723,            0.064728,           0.0037284,           0.0037284
                   5,            0.051819,            0.051341,            0.018802,             0.68653,             0.62904,             0.69103,              0.4218,            0.047931,            0.028414,           0.0090172,            0.057442,           0.0044415,           0.0044415
                   6,            0.052092,            0.045939,            0.016479,             0.72533,              0.6313,             0.70604,             0.41199,            0.048149,             0.02723,           0.0085061,            0.050137,            0.005137,            0.005137
                   7,            0.050659,            0.047601,            0.016408,             0.71267,             0.61943,              0.6977,              0.3871,            0.051456,             0.02655,           0.0081341,            0.042815,           0.0058149,           0.0058149
                   8,            0.054514,            0.045206,            0.013971,             0.69891,             0.63412,              0.6982,             0.38921,            0.049435,            0.025485,           0.0078664,            0.035475,           0.0064752,           0.0064752
                   9,            0.053622,            0.045998,            0.016738,             0.63416,             0.67527,             0.70165,             0.40505,            0.049536,             0.02606,           0.0081575,            0.028118,           0.0071179,           0.0071179
                  10,            0.052596,            0.047297,            0.015687,             0.59706,             0.67617,             0.67822,             0.41047,            0.051029,            0.024393,            0.007062,            0.020743,            0.007743,            0.007743
                  11,             0.05543,            0.046315,            0.016742,             0.65598,             0.69388,               0.726,              0.4412,            0.049556,            0.024276,           0.0066707,            0.013351,           0.0083505,           0.0083505
                  12,            0.053685,            0.044685,            0.015919,             0.72104,             0.67234,             0.74877,             0.45979,            0.047736,            0.024178,           0.0065639,             0.00868,             0.00868,             0.00868
                  13,            0.050909,            0.043593,            0.015907,             0.72152,             0.67277,             0.74061,             0.43247,            0.048742,            0.024114,           0.0067353,             0.00868,             0.00868,             0.00868
                  14,            0.054175,            0.046457,            0.016064,             0.74539,             0.70672,             0.75171,              0.4675,              0.0465,            0.024123,           0.0066051,             0.00857,             0.00857,             0.00857
                  15,            0.052192,            0.044843,            0.014384,             0.75913,             0.69148,             0.75359,             0.45508,            0.045743,            0.023814,           0.0063257,             0.00846,             0.00846,             0.00846
                  16,            0.050507,            0.045989,            0.013003,              0.7767,             0.68469,             0.76096,             0.44591,            0.046622,            0.023753,           0.0064669,             0.00835,             0.00835,             0.00835
                  17,             0.04932,            0.040853,            0.013415,             0.80471,             0.70681,             0.77338,             0.46088,            0.045812,            0.023169,           0.0061474,             0.00824,             0.00824,             0.00824
                  18,            0.049009,            0.040813,            0.013941,             0.70525,             0.71347,             0.75667,             0.44633,            0.046181,            0.022856,           0.0059984,             0.00813,             0.00813,             0.00813
                  19,            0.050228,            0.041741,            0.012415,             0.80108,             0.71396,             0.79099,             0.49139,            0.043655,            0.022284,           0.0058517,             0.00802,             0.00802,             0.00802
                  20,            0.049105,            0.039159,            0.012649,             0.77622,             0.74208,             0.79481,             0.47744,            0.044569,            0.022276,           0.0056469,             0.00791,             0.00791,             0.00791
                  21,            0.047759,             0.04319,            0.013803,             0.82742,             0.69664,             0.78772,             0.47782,            0.044727,            0.022699,           0.0057657,              0.0078,              0.0078,              0.0078
                  22,             0.05025,            0.042745,            0.011697,             0.82144,             0.73297,             0.81228,             0.49002,            0.043231,            0.022297,           0.0055432,             0.00769,             0.00769,             0.00769
                  23,            0.048036,            0.042556,            0.012865,             0.78078,             0.78195,                0.82,             0.47421,            0.044304,            0.022288,            0.005481,             0.00758,             0.00758,             0.00758
                  24,            0.049995,            0.043006,            0.011108,             0.81221,             0.73904,             0.81952,             0.50446,            0.043924,            0.022253,           0.0057068,             0.00747,             0.00747,             0.00747
                  25,            0.047723,             0.03812,             0.01235,             0.87175,             0.70284,             0.83048,             0.50763,            0.043429,            0.021533,           0.0056117,             0.00736,             0.00736,             0.00736
                  26,            0.048228,            0.042289,            0.010656,              0.7846,             0.77004,             0.81703,             0.49988,            0.042724,            0.021403,           0.0055461,             0.00725,             0.00725,             0.00725
                  27,            0.046372,            0.042453,           0.0098879,             0.79989,             0.76845,             0.81514,             0.51273,            0.042781,            0.021246,           0.0054188,             0.00714,             0.00714,             0.00714
                  28,            0.047825,            0.039125,            0.011036,             0.83239,             0.73016,             0.81661,             0.51106,            0.042562,             0.02103,           0.0053043,             0.00703,             0.00703,             0.00703
                  29,            0.046685,            0.038558,            0.010933,             0.79173,             0.75178,             0.82856,             0.52249,            0.041828,            0.020859,           0.0052023,             0.00692,             0.00692,             0.00692
                  30,            0.046367,             0.03707,           0.0097475,             0.80938,             0.74894,             0.82968,             0.52168,             0.04157,            0.020636,           0.0051265,             0.00681,             0.00681,             0.00681
                  31,              0.0468,            0.036226,            0.010838,              0.7728,             0.81041,             0.82865,             0.51825,            0.041312,            0.021006,           0.0051024,              0.0067,              0.0067,              0.0067
                  32,            0.045733,            0.043043,            0.010293,             0.84816,             0.73236,             0.82979,              0.5216,            0.041615,             0.02082,           0.0048856,             0.00659,             0.00659,             0.00659
                  33,            0.046217,            0.038137,            0.010247,             0.81124,             0.77873,             0.84052,             0.53602,            0.040939,            0.020497,            0.004867,             0.00648,             0.00648,             0.00648
                  34,            0.046343,            0.040659,           0.0097117,             0.75171,             0.79944,             0.83356,             0.54303,            0.040245,            0.020444,           0.0047179,             0.00637,             0.00637,             0.00637
