               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079465,            0.059206,            0.024417,             0.34795,             0.53458,              0.4134,             0.25948,            0.064537,            0.029916,            0.011768,              0.0937,              0.0007,              0.0007
                   1,            0.065821,            0.058377,            0.026458,             0.55747,             0.54104,             0.57404,             0.36469,            0.053029,            0.029504,            0.010629,            0.086481,           0.0014814,           0.0014814
                   2,            0.057042,            0.055722,            0.023685,             0.54743,             0.59584,             0.63433,             0.39587,            0.051049,            0.029275,           0.0099962,            0.079243,           0.0022431,           0.0022431
                   3,            0.056123,            0.052078,             0.02265,             0.62211,               0.622,             0.67802,             0.43472,            0.048483,            0.029052,           0.0095525,            0.071985,           0.0029849,           0.0029849
                   4,            0.053754,            0.054705,            0.021012,             0.66424,             0.62419,             0.69656,             0.42609,            0.048627,            0.029417,           0.0092793,            0.064707,           0.0037069,           0.0037069
                   5,            0.051829,            0.051355,            0.018813,             0.70673,             0.62986,             0.69041,             0.41488,            0.047893,            0.028427,           0.0090239,            0.057409,           0.0044092,           0.0044092
                   6,            0.052315,            0.045938,            0.016499,             0.69082,              0.6394,              0.6897,             0.40271,            0.048476,            0.027222,           0.0085187,            0.050092,           0.0050916,           0.0050916
                   7,            0.051143,            0.047538,            0.016407,             0.72743,             0.62353,             0.69616,             0.38256,             0.05121,            0.026608,            0.008173,            0.042754,           0.0057543,           0.0057543
                   8,            0.052897,            0.045236,            0.014013,             0.67613,             0.65233,             0.71025,             0.40518,            0.049472,            0.025371,           0.0078375,            0.035397,           0.0063971,           0.0063971
                   9,            0.053186,            0.045773,            0.016666,             0.61491,             0.70109,             0.69984,             0.39758,            0.050468,            0.025857,           0.0079963,             0.02802,           0.0070201,           0.0070201
                  10,            0.052252,            0.047192,            0.015552,             0.58194,             0.68119,             0.68272,             0.42473,            0.050153,            0.024726,           0.0071762,            0.020623,           0.0076234,           0.0076234
                  11,             0.05471,            0.046407,            0.016712,             0.67499,             0.67397,             0.72177,             0.44697,            0.049282,            0.024197,           0.0065644,            0.013207,           0.0082068,           0.0082068
                  12,            0.053383,            0.044686,            0.015838,              0.7236,             0.66165,             0.73427,             0.44606,            0.049585,            0.024193,           0.0064702,            0.008515,            0.008515,            0.008515
                  13,            0.050655,            0.043685,            0.015879,             0.72193,             0.66656,             0.72379,             0.44132,            0.048004,            0.023985,           0.0066941,            0.008515,            0.008515,            0.008515
                  14,            0.053819,            0.046234,            0.016002,             0.74346,             0.68092,             0.73818,             0.46316,            0.047152,            0.024005,           0.0065384,           0.0083913,           0.0083913,           0.0083913
                  15,             0.05269,            0.044802,            0.014333,             0.74385,             0.69968,             0.74673,             0.46704,            0.045517,            0.023747,           0.0063488,           0.0082675,           0.0082675,           0.0082675
                  16,            0.050086,            0.045831,            0.012876,             0.74612,              0.6794,             0.74987,             0.44952,            0.046881,            0.023786,           0.0066102,           0.0081437,           0.0081437,           0.0081437
                  17,            0.049177,            0.040835,            0.013463,             0.74514,             0.69848,             0.75729,             0.47286,            0.045707,            0.023036,           0.0061057,             0.00802,             0.00802,             0.00802
                  18,            0.048475,            0.040796,            0.013988,             0.68462,             0.74757,             0.76539,             0.46194,             0.04607,            0.023209,           0.0062094,           0.0078963,           0.0078963,           0.0078963
                  19,            0.050152,            0.041598,            0.012382,             0.74983,             0.74002,              0.7914,             0.49008,            0.043325,             0.02229,           0.0060077,           0.0077725,           0.0077725,           0.0077725
                  20,            0.047828,            0.039163,            0.012647,              0.7564,             0.72042,             0.77784,             0.48055,            0.044429,            0.022262,           0.0059013,           0.0076488,           0.0076488,           0.0076488
                  21,            0.046963,            0.043212,            0.013911,             0.75881,             0.75587,             0.79846,             0.48948,            0.043036,            0.022105,           0.0057876,            0.007525,            0.007525,            0.007525
                  22,            0.049327,            0.042645,            0.011786,             0.77333,              0.7401,             0.79365,             0.49364,            0.043456,            0.022317,           0.0057082,           0.0074013,           0.0074013,           0.0074013
                  23,            0.047856,            0.042455,            0.012956,             0.81319,             0.75574,             0.81962,              0.4918,            0.043581,             0.02235,           0.0055366,           0.0072775,           0.0072775,           0.0072775
                  24,            0.049727,            0.042974,            0.011272,             0.72931,             0.77929,             0.80631,             0.49156,            0.043201,            0.022273,            0.005657,           0.0071538,           0.0071538,           0.0071538
                  25,            0.047651,            0.038112,            0.012487,             0.79356,             0.72707,             0.81428,             0.48375,             0.04346,            0.021613,           0.0055454,             0.00703,             0.00703,             0.00703
                  26,            0.048604,            0.041999,            0.010477,              0.7893,             0.74159,             0.80776,             0.50154,            0.042296,            0.021499,           0.0054989,           0.0069063,           0.0069063,           0.0069063
                  27,            0.046539,            0.042573,           0.0098802,             0.83022,             0.74252,             0.82243,             0.50888,              0.0424,            0.021279,           0.0053475,           0.0067825,           0.0067825,           0.0067825
                  28,            0.047092,            0.039213,            0.010983,             0.82785,             0.75877,             0.82275,             0.51064,            0.042239,             0.02108,           0.0052454,           0.0066587,           0.0066587,           0.0066587
                  29,            0.046455,            0.038623,             0.01081,              0.7789,             0.79346,             0.83835,             0.52507,            0.041113,            0.020907,           0.0051742,            0.006535,            0.006535,            0.006535
                  30,            0.045501,            0.037009,             0.00986,             0.79227,             0.77864,             0.84146,             0.52849,            0.041443,            0.020718,           0.0051167,           0.0064112,           0.0064112,           0.0064112
                  31,             0.04662,            0.036214,            0.010868,             0.77699,             0.78948,             0.83183,             0.52683,            0.041059,            0.020716,           0.0050328,           0.0062875,           0.0062875,           0.0062875
                  32,             0.04557,            0.042927,            0.010167,             0.81959,             0.75372,             0.82817,             0.52857,            0.041539,             0.02057,           0.0049063,           0.0061637,           0.0061637,           0.0061637
                  33,            0.045869,            0.037979,            0.010077,             0.82783,             0.77187,             0.83763,             0.53516,            0.040423,            0.020331,           0.0047873,             0.00604,             0.00604,             0.00604
                  34,            0.045755,            0.040817,           0.0099547,              0.8384,             0.77391,             0.84805,             0.55392,            0.039602,              0.0202,           0.0046519,           0.0059163,           0.0059163,           0.0059163
                  35,            0.043455,            0.035974,           0.0094407,              0.8077,             0.77304,             0.84483,             0.54516,            0.040101,            0.020138,            0.004636,           0.0057925,           0.0057925,           0.0057925
                  36,            0.044822,            0.037867,           0.0095367,              0.8445,             0.77768,             0.86117,             0.55926,            0.038504,            0.019747,           0.0045238,           0.0056688,           0.0056688,           0.0056688
                  37,            0.044006,            0.042295,           0.0095924,             0.84178,             0.79638,             0.85474,             0.55626,            0.038878,            0.019683,           0.0043976,            0.005545,            0.005545,            0.005545
                  38,            0.043741,            0.037151,           0.0086719,              0.8312,             0.79485,             0.85836,             0.55626,            0.038452,             0.01972,           0.0043566,           0.0054212,           0.0054212,           0.0054212
                  39,            0.042945,            0.035794,            0.009677,              0.8403,             0.79808,             0.85219,             0.56918,            0.038086,              0.0192,           0.0043614,           0.0052975,           0.0052975,           0.0052975
                  40,            0.043371,            0.037979,           0.0097314,             0.83376,             0.79559,              0.8559,              0.5785,            0.038006,            0.019279,           0.0043606,           0.0051737,           0.0051737,           0.0051737
                  41,             0.04303,            0.038587,           0.0092229,             0.79978,              0.8429,             0.86632,             0.58877,            0.037513,            0.019148,           0.0042937,             0.00505,             0.00505,             0.00505
                  42,            0.043879,             0.03774,            0.008869,             0.84084,             0.78704,             0.85684,             0.58707,            0.038288,            0.019361,           0.0042281,           0.0049263,           0.0049263,           0.0049263
                  43,            0.042911,             0.03548,           0.0088463,             0.84863,             0.78796,             0.85846,             0.58791,            0.037895,            0.019298,           0.0042465,           0.0048025,           0.0048025,           0.0048025
                  44,            0.040967,            0.035053,           0.0090791,             0.86834,             0.78104,             0.86031,             0.58683,            0.037546,             0.01905,           0.0041957,           0.0046788,           0.0046788,           0.0046788
                  45,            0.041736,            0.033706,           0.0090364,             0.85194,             0.79278,             0.86988,             0.58814,             0.03736,            0.018669,           0.0040803,            0.004555,            0.004555,            0.004555
                  46,            0.042061,            0.035156,           0.0085248,             0.86791,              0.7765,             0.86794,             0.58531,            0.036711,            0.018519,           0.0039871,           0.0044313,           0.0044313,           0.0044313
                  47,            0.040996,             0.03323,           0.0085241,             0.88101,             0.78567,             0.87431,             0.58354,            0.036391,            0.018352,           0.0039752,           0.0043075,           0.0043075,           0.0043075
                  48,            0.041256,            0.038146,           0.0093888,             0.88796,             0.77673,             0.87616,             0.58252,            0.036332,            0.018531,           0.0039444,           0.0041837,           0.0041837,           0.0041837
                  49,            0.040969,            0.036581,           0.0088611,             0.89853,             0.78174,              0.8668,             0.57576,            0.038017,            0.018925,           0.0039721,             0.00406,             0.00406,             0.00406
                  50,            0.041624,            0.033762,           0.0090035,             0.89423,             0.78277,             0.86289,             0.58958,            0.036582,            0.018652,            0.004012,           0.0039362,           0.0039362,           0.0039362
                  51,            0.041524,            0.040814,            0.008478,             0.88851,             0.78087,             0.85967,             0.59809,            0.036443,            0.018465,           0.0040221,           0.0038125,           0.0038125,           0.0038125
                  52,            0.040879,            0.039213,           0.0082842,             0.87795,             0.78746,             0.86577,             0.60036,            0.036348,            0.018261,           0.0039684,           0.0036888,           0.0036888,           0.0036888
                  53,            0.041362,            0.036073,           0.0083873,             0.88058,             0.81001,             0.87591,             0.60481,            0.035789,            0.017964,           0.0039458,            0.003565,            0.003565,            0.003565
                  54,            0.039846,             0.03371,            0.008334,             0.88029,             0.79334,             0.87506,             0.60765,            0.034887,            0.017718,           0.0038557,           0.0034413,           0.0034413,           0.0034413
                  55,            0.040057,            0.031752,           0.0089913,             0.90919,             0.78976,             0.88477,             0.63207,             0.03421,             0.01755,           0.0038118,           0.0033175,           0.0033175,           0.0033175
