               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.044767,            0.038087,           0.0096383,             0.82453,             0.80274,             0.84542,             0.55459,            0.038461,            0.019976,           0.0044847,             0.00505,             0.00505,             0.00505
                  37,            0.043313,            0.042337,           0.0096434,             0.83771,             0.79502,             0.84546,             0.54454,            0.039674,            0.019936,            0.004389,           0.0049086,           0.0049086,           0.0049086
                  38,            0.043074,            0.036948,           0.0085308,             0.83875,             0.78244,             0.85297,             0.55508,            0.039332,            0.019805,           0.0043192,           0.0047671,           0.0047671,           0.0047671
                  39,             0.04411,            0.035833,           0.0095319,              0.8452,             0.79607,             0.86221,             0.56026,            0.038223,            0.019432,           0.0042588,           0.0046257,           0.0046257,           0.0046257
                  40,            0.043148,            0.038165,           0.0098549,             0.81131,             0.80648,             0.85202,             0.56582,            0.038185,            0.019468,           0.0042261,           0.0044843,           0.0044843,           0.0044843
                  41,             0.04272,            0.038171,           0.0090574,             0.81958,             0.81539,             0.86854,             0.59148,            0.036684,            0.019077,           0.0041587,           0.0043429,           0.0043429,           0.0043429
                  42,            0.043059,             0.03769,           0.0087715,             0.87053,             0.79666,             0.86651,             0.58208,            0.037828,            0.019301,           0.0040929,           0.0042014,           0.0042014,           0.0042014
                  43,            0.042389,            0.035147,           0.0090634,             0.87468,             0.79434,             0.86475,             0.59117,            0.037048,            0.019211,           0.0040753,             0.00406,             0.00406,             0.00406
                  44,            0.040186,             0.03508,           0.0088668,             0.87346,             0.79734,             0.86738,             0.59909,            0.036835,            0.018989,           0.0040636,           0.0039186,           0.0039186,           0.0039186
                  45,            0.040925,            0.033507,           0.0088881,             0.87555,             0.79339,             0.86714,             0.59329,             0.03705,             0.01869,           0.0040277,           0.0037771,           0.0037771,           0.0037771
                  46,            0.041967,             0.03501,           0.0085093,             0.87496,              0.8068,             0.87747,             0.59377,            0.036488,            0.018496,           0.0039713,           0.0036357,           0.0036357,           0.0036357
                  47,            0.040203,            0.033247,           0.0085123,             0.89354,             0.80498,             0.87443,             0.61109,             0.03587,            0.018293,           0.0039637,           0.0034943,           0.0034943,           0.0034943
                  48,            0.040607,            0.038011,           0.0091543,             0.87891,             0.79906,             0.86405,             0.61348,            0.035091,            0.018214,           0.0039203,           0.0033529,           0.0033529,           0.0033529
                  49,              0.0397,            0.036329,           0.0087461,             0.86687,             0.80808,              0.8728,             0.59039,            0.036645,            0.018569,           0.0038952,           0.0032114,           0.0032114,           0.0032114
                  50,            0.041025,            0.033612,           0.0088443,             0.87464,             0.80414,             0.87298,             0.59584,             0.03543,            0.018382,           0.0038997,             0.00307,             0.00307,             0.00307
                  51,            0.040834,            0.040489,           0.0083996,             0.87648,              0.8042,             0.87914,             0.61794,            0.034605,            0.018133,           0.0038972,           0.0029286,           0.0029286,           0.0029286
                  52,            0.039743,            0.038777,           0.0082575,             0.88444,             0.80256,             0.88048,             0.62033,            0.034182,            0.017933,           0.0038546,           0.0027871,           0.0027871,           0.0027871
                  53,            0.040313,            0.035576,           0.0083425,             0.82812,             0.83864,             0.88163,             0.61735,            0.034206,            0.017808,           0.0038098,           0.0026457,           0.0026457,           0.0026457
                  54,            0.038928,            0.033335,           0.0083107,             0.85848,             0.83416,             0.88918,             0.63152,            0.033717,            0.017546,           0.0037369,           0.0025043,           0.0025043,           0.0025043
