               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079455,            0.059191,            0.024405,             0.35794,             0.52368,             0.41677,             0.26387,            0.064766,            0.029971,            0.011955,              0.0937,              0.0007,              0.0007
                   1,            0.065803,            0.058375,            0.026448,             0.55849,             0.55243,              0.5875,             0.37694,            0.053301,            0.029614,            0.010808,            0.086493,           0.0014926,           0.0014926
                   2,             0.05702,            0.055703,            0.023669,             0.54945,             0.60361,             0.64463,             0.40674,            0.051278,            0.029412,            0.010168,            0.079277,           0.0022772,           0.0022772
                   3,            0.056086,            0.052047,            0.022613,             0.59688,             0.61785,             0.67591,             0.43592,            0.048678,            0.029202,           0.0097043,            0.072054,            0.003054,            0.003054
                   4,            0.053756,            0.054641,            0.020961,             0.65272,             0.62126,             0.68943,             0.41482,            0.049167,            0.029623,           0.0094488,            0.064823,           0.0038228,           0.0038228
                   5,            0.052006,            0.051283,            0.018764,             0.68443,             0.63942,             0.68354,             0.41859,            0.048451,            0.028505,           0.0092084,            0.057584,           0.0045837,           0.0045837
                   6,            0.052477,            0.045827,            0.016431,             0.70653,             0.62022,             0.68783,             0.38732,            0.049298,            0.027287,           0.0086356,            0.050337,           0.0053367,           0.0053367
                   7,            0.051424,             0.04749,            0.016337,              0.6848,             0.62143,             0.69526,             0.37955,            0.051659,            0.026738,           0.0082465,            0.043082,           0.0060817,           0.0060817
                   8,            0.053319,            0.045111,            0.013952,             0.67489,             0.66736,             0.71144,             0.40691,             0.04961,            0.025365,           0.0078815,            0.035819,           0.0068188,           0.0068188
                   9,            0.053853,            0.045655,             0.01665,             0.61926,             0.69362,             0.69653,             0.39604,            0.050837,            0.026012,           0.0082546,            0.028548,           0.0075481,           0.0075481
                  10,            0.052957,            0.046951,            0.015539,             0.64283,             0.66671,             0.69221,             0.42687,            0.049251,            0.024457,           0.0073389,            0.021269,           0.0082693,           0.0082693
                  11,            0.055508,            0.046174,             0.01673,              0.6805,             0.67924,             0.71774,             0.42263,            0.051023,            0.024062,           0.0069212,            0.013983,           0.0089827,           0.0089827
                  12,            0.053796,            0.044864,            0.015878,             0.68471,             0.68233,             0.72925,             0.42715,            0.050822,            0.024328,           0.0070272,            0.009406,            0.009406,            0.009406
                  13,            0.051677,            0.043544,            0.015894,             0.70404,             0.72103,             0.74935,             0.43167,            0.048503,            0.024128,           0.0072799,            0.009406,            0.009406,            0.009406
                  14,            0.054356,            0.046391,            0.016089,             0.75318,             0.66435,             0.73433,             0.43313,            0.048619,            0.024098,           0.0072307,           0.0093565,           0.0093565,           0.0093565
                  15,            0.054143,            0.044523,             0.01449,             0.67286,             0.70897,             0.74141,              0.4453,            0.048307,            0.023738,           0.0070989,            0.009307,            0.009307,            0.009307
                  16,            0.051542,            0.045697,            0.013099,              0.7667,             0.66049,              0.7622,             0.44287,            0.048151,            0.023592,           0.0070497,           0.0092575,           0.0092575,           0.0092575
                  17,            0.050817,            0.040762,            0.013699,             0.78269,             0.69269,             0.76305,             0.46626,            0.046781,            0.023144,           0.0069275,            0.009208,            0.009208,            0.009208
                  18,            0.050134,            0.040803,            0.014272,             0.75219,             0.69674,             0.77198,             0.44946,            0.046709,            0.023402,           0.0071042,           0.0091585,           0.0091585,           0.0091585
                  19,            0.050674,            0.041883,            0.012592,             0.79006,             0.73584,             0.80266,             0.47446,            0.045621,            0.022399,           0.0067317,            0.009109,            0.009109,            0.009109
                  20,            0.049691,            0.039361,            0.013144,             0.80727,             0.72534,             0.79528,             0.47018,            0.045859,            0.022438,           0.0065345,           0.0090595,           0.0090595,           0.0090595
                  21,            0.048598,             0.04323,            0.014115,             0.81241,             0.69875,             0.79557,             0.48985,            0.045815,            0.022435,           0.0066362,             0.00901,             0.00901,             0.00901
                  22,            0.050724,             0.04274,            0.011968,             0.75671,             0.72534,             0.79506,             0.48549,             0.04542,            0.022503,           0.0064644,           0.0089605,           0.0089605,           0.0089605
                  23,            0.049906,             0.04256,            0.013206,             0.78998,             0.72394,             0.80526,             0.49566,            0.044928,            0.022759,           0.0063562,            0.008911,            0.008911,            0.008911
                  24,            0.051231,            0.043101,            0.011375,             0.76387,             0.73478,             0.80662,             0.49844,            0.045469,            0.022518,           0.0064267,           0.0088615,           0.0088615,           0.0088615
                  25,            0.048663,            0.038006,            0.012672,             0.77177,             0.75096,             0.81716,             0.49062,             0.04517,            0.021795,           0.0064411,            0.008812,            0.008812,            0.008812
                  26,            0.050027,            0.042371,             0.01102,             0.75669,             0.75036,             0.79589,             0.47941,            0.045082,            0.021639,           0.0063204,           0.0087625,           0.0087625,           0.0087625
                  27,            0.048074,            0.042663,            0.010525,             0.75532,             0.78624,             0.81962,             0.49038,             0.04456,            0.021522,           0.0061715,            0.008713,            0.008713,            0.008713
                  28,            0.049416,            0.039427,            0.011676,             0.75217,             0.76935,             0.81344,             0.49505,             0.04397,            0.021247,           0.0060951,           0.0086635,           0.0086635,           0.0086635
                  29,            0.048165,             0.03896,              0.0112,             0.81817,             0.72289,             0.81572,             0.51207,            0.042888,            0.021247,            0.006056,            0.008614,            0.008614,            0.008614
                  30,             0.04743,            0.037328,            0.010287,             0.82667,             0.70491,             0.81706,               0.504,             0.04483,            0.021167,            0.005844,           0.0085645,           0.0085645,           0.0085645
                  31,            0.048867,            0.036889,            0.011345,             0.78587,             0.74752,             0.80033,             0.49392,            0.044059,            0.021486,           0.0056973,            0.008515,            0.008515,            0.008515
                  32,            0.047415,            0.043222,            0.010861,             0.79872,              0.7267,             0.80536,             0.48381,            0.045762,            0.021273,           0.0055431,           0.0084655,           0.0084655,           0.0084655
                  33,            0.048522,            0.038509,              0.0104,             0.75909,             0.79479,             0.81794,             0.50679,            0.044117,            0.021066,           0.0055346,            0.008416,            0.008416,            0.008416
                  34,            0.047674,            0.041501,            0.010534,             0.83914,             0.75747,             0.82091,             0.53597,             0.04214,            0.020907,           0.0054204,           0.0083665,           0.0083665,           0.0083665
                  35,            0.044873,            0.036102,            0.009908,             0.72736,             0.80169,             0.82678,             0.50688,            0.044148,            0.020723,            0.005386,            0.008317,            0.008317,            0.008317
                  36,            0.048159,            0.038272,            0.009848,             0.75056,             0.79769,             0.82663,              0.5243,            0.043331,            0.020487,            0.005428,           0.0082675,           0.0082675,           0.0082675
                  37,            0.048276,               0.043,            0.010219,             0.81661,             0.77551,             0.83514,             0.51912,            0.041992,            0.020335,            0.005424,            0.008218,            0.008218,            0.008218
